site,month_of_date_id,day_of_date_id,year_of_date_id,measure_names,person_type,supplier_type,measure_values
Site A,July,1,2016,Gross Booking Value,FRBO,Platform,248718.800525
Site B,July,1,2016,Gross Booking Value,FRBO,Platform,154181.62717
Site A,July,2,2016,Gross Booking Value,FRBO,Platform,178238.115019
Site B,July,2,2016,Gross Booking Value,FRBO,Platform,162374.325731
Site A,July,3,2016,Gross Booking Value,FRBO,Platform,222340.192845
Site B,July,3,2016,Gross Booking Value,FRBO,Platform,173918.900182
Site A,July,4,2016,Gross Booking Value,FRBO,Platform,263738.684559
Site B,July,4,2016,Gross Booking Value,FRBO,Platform,206100.786083
Site A,July,5,2016,Gross Booking Value,FRBO,Platform,227015.394658
Site B,July,5,2016,Gross Booking Value,FRBO,Platform,196755.742628
Site A,July,6,2016,Gross Booking Value,FRBO,Platform,227398.494111
Site B,July,6,2016,Gross Booking Value,FRBO,Platform,172356.706445
Site A,July,7,2016,Gross Booking Value,FRBO,Platform,190823.717502
Site B,July,7,2016,Gross Booking Value,FRBO,Platform,205070.575403
Site A,July,8,2016,Gross Booking Value,FRBO,Platform,235526.411985
Site B,July,8,2016,Gross Booking Value,FRBO,Platform,160094.659376
Site A,July,9,2016,Gross Booking Value,FRBO,Platform,184008.229103
Site B,July,9,2016,Gross Booking Value,FRBO,Platform,122290.144315
Site A,July,10,2016,Gross Booking Value,FRBO,Platform,216170.235114
Site B,July,10,2016,Gross Booking Value,FRBO,Platform,163249.719092
Site A,July,11,2016,Gross Booking Value,FRBO,Platform,272541.784401
Site B,July,11,2016,Gross Booking Value,FRBO,Platform,170854.735434
Site A,July,12,2016,Gross Booking Value,FRBO,Platform,221450.688362
Site B,July,12,2016,Gross Booking Value,FRBO,Platform,181539.467263
Site A,July,13,2016,Gross Booking Value,FRBO,Platform,214296.957655
Site B,July,13,2016,Gross Booking Value,FRBO,Platform,157256.93051
Site A,July,14,2016,Gross Booking Value,FRBO,Platform,282813.171723
Site B,July,14,2016,Gross Booking Value,FRBO,Platform,169513.70217
Site A,July,15,2016,Gross Booking Value,FRBO,Platform,200225.012643
Site B,July,15,2016,Gross Booking Value,FRBO,Platform,136080.344588
Site A,July,16,2016,Gross Booking Value,FRBO,Platform,203942.671408
Site B,July,16,2016,Gross Booking Value,FRBO,Platform,116321.233388
Site A,July,17,2016,Gross Booking Value,FRBO,Platform,200839.628102
Site B,July,17,2016,Gross Booking Value,FRBO,Platform,105676.305134
Site A,July,18,2016,Gross Booking Value,FRBO,Platform,216441.764515
Site B,July,18,2016,Gross Booking Value,FRBO,Platform,147927.692741
Site A,July,19,2016,Gross Booking Value,FRBO,Platform,232607.817667
Site B,July,19,2016,Gross Booking Value,FRBO,Platform,147586.757684
Site A,July,20,2016,Gross Booking Value,FRBO,Platform,215584.343131
Site B,July,20,2016,Gross Booking Value,FRBO,Platform,153030.38045
Site A,July,21,2016,Gross Booking Value,FRBO,Platform,227372.971205
Site B,July,21,2016,Gross Booking Value,FRBO,Platform,140696.048693
Site A,July,22,2016,Gross Booking Value,FRBO,Platform,230661.684533
Site B,July,22,2016,Gross Booking Value,FRBO,Platform,163040.854564
Site A,July,23,2016,Gross Booking Value,FRBO,Platform,181727.560307
Site B,July,23,2016,Gross Booking Value,FRBO,Platform,108682.140594
Site A,July,24,2016,Gross Booking Value,FRBO,Platform,215667.151797
Site B,July,24,2016,Gross Booking Value,FRBO,Platform,168841.720238
Site A,July,25,2016,Gross Booking Value,FRBO,Platform,267299.819543
Site B,July,25,2016,Gross Booking Value,FRBO,Platform,146104.511243
Site A,July,26,2016,Gross Booking Value,FRBO,Platform,216781.029143
Site B,July,26,2016,Gross Booking Value,FRBO,Platform,143034.325509
Site A,July,27,2016,Gross Booking Value,FRBO,Platform,218182.310667
Site B,July,27,2016,Gross Booking Value,FRBO,Platform,142114.690469
Site A,July,28,2016,Gross Booking Value,FRBO,Platform,193113.103212
Site B,July,28,2016,Gross Booking Value,FRBO,Platform,111287.220042
Site A,July,29,2016,Gross Booking Value,FRBO,Platform,229174.313851
Site B,July,29,2016,Gross Booking Value,FRBO,Platform,111269.078315
Site A,July,30,2016,Gross Booking Value,FRBO,Platform,159322.171416
Site B,July,30,2016,Gross Booking Value,FRBO,Platform,100629.989876
Site A,July,31,2016,Gross Booking Value,FRBO,Platform,203433.047709
Site B,July,31,2016,Gross Booking Value,FRBO,Platform,116190.997909
Site A,June,1,2016,Gross Booking Value,FRBO,Platform,285395.676498
Site B,June,1,2016,Gross Booking Value,FRBO,Platform,217785.040292
Site A,June,2,2016,Gross Booking Value,FRBO,Platform,260324.035415
Site B,June,2,2016,Gross Booking Value,FRBO,Platform,205241.773882
Site A,June,3,2016,Gross Booking Value,FRBO,Platform,179976.367817
Site B,June,3,2016,Gross Booking Value,FRBO,Platform,195182.650605
Site A,June,4,2016,Gross Booking Value,FRBO,Platform,228857.28029
Site B,June,4,2016,Gross Booking Value,FRBO,Platform,161059.617588
Site A,June,5,2016,Gross Booking Value,FRBO,Platform,216368.410638
Site B,June,5,2016,Gross Booking Value,FRBO,Platform,187707.790366
Site A,June,6,2016,Gross Booking Value,FRBO,Platform,300297.456771
Site B,June,6,2016,Gross Booking Value,FRBO,Platform,242603.391549
Site A,June,7,2016,Gross Booking Value,FRBO,Platform,277960.037846
Site B,June,7,2016,Gross Booking Value,FRBO,Platform,231688.105409
Site A,June,8,2016,Gross Booking Value,FRBO,Platform,240434.057774
Site B,June,8,2016,Gross Booking Value,FRBO,Platform,267600.226615
Site A,June,9,2016,Gross Booking Value,FRBO,Platform,292336.239613
Site B,June,9,2016,Gross Booking Value,FRBO,Platform,237234.720986
Site A,June,10,2016,Gross Booking Value,FRBO,Platform,188810.993839
Site B,June,10,2016,Gross Booking Value,FRBO,Platform,192566.779217
Site A,June,11,2016,Gross Booking Value,FRBO,Platform,251589.691433
Site B,June,11,2016,Gross Booking Value,FRBO,Platform,154305.695614
Site A,June,12,2016,Gross Booking Value,FRBO,Platform,283764.87419
Site B,June,12,2016,Gross Booking Value,FRBO,Platform,291671.262172
Site A,June,13,2016,Gross Booking Value,FRBO,Platform,346673.264329
Site B,June,13,2016,Gross Booking Value,FRBO,Platform,270794.456849
Site A,June,14,2016,Gross Booking Value,FRBO,Platform,236005.494179
Site B,June,14,2016,Gross Booking Value,FRBO,Platform,240617.708455
Site A,June,15,2016,Gross Booking Value,FRBO,Platform,297447.876666
Site B,June,15,2016,Gross Booking Value,FRBO,Platform,188060.657572
Site A,June,16,2016,Gross Booking Value,FRBO,Platform,215149.309156
Site B,June,16,2016,Gross Booking Value,FRBO,Platform,153998.306834
Site A,June,17,2016,Gross Booking Value,FRBO,Platform,218352.577958
Site B,June,17,2016,Gross Booking Value,FRBO,Platform,152155.787744
Site A,June,18,2016,Gross Booking Value,FRBO,Platform,196656.03454
Site B,June,18,2016,Gross Booking Value,FRBO,Platform,135257.297157
Site A,June,19,2016,Gross Booking Value,FRBO,Platform,242759.580815
Site B,June,19,2016,Gross Booking Value,FRBO,Platform,173812.820378
Site A,June,20,2016,Gross Booking Value,FRBO,Platform,214450.144821
Site B,June,20,2016,Gross Booking Value,FRBO,Platform,240914.353128
Site A,June,21,2016,Gross Booking Value,FRBO,Platform,270809.700227
Site B,June,21,2016,Gross Booking Value,FRBO,Platform,185893.728375
Site A,June,22,2016,Gross Booking Value,FRBO,Platform,241935.086632
Site B,June,22,2016,Gross Booking Value,FRBO,Platform,171289.712325
Site A,June,23,2016,Gross Booking Value,FRBO,Platform,256191.987532
Site B,June,23,2016,Gross Booking Value,FRBO,Platform,131467.000729
Site A,June,24,2016,Gross Booking Value,FRBO,Platform,145253.964211
Site B,June,24,2016,Gross Booking Value,FRBO,Platform,148541.816932
Site A,June,25,2016,Gross Booking Value,FRBO,Platform,184193.006908
Site B,June,25,2016,Gross Booking Value,FRBO,Platform,123154.016642
Site A,June,26,2016,Gross Booking Value,FRBO,Platform,261419.378088
Site B,June,26,2016,Gross Booking Value,FRBO,Platform,156407.072318
Site A,June,27,2016,Gross Booking Value,FRBO,Platform,208855.064031
Site B,June,27,2016,Gross Booking Value,FRBO,Platform,199217.797085
Site A,June,28,2016,Gross Booking Value,FRBO,Platform,231064.806827
Site B,June,28,2016,Gross Booking Value,FRBO,Platform,159512.745938
Site A,June,29,2016,Gross Booking Value,FRBO,Platform,220589.084985
Site B,June,29,2016,Gross Booking Value,FRBO,Platform,196100.550647
Site A,June,30,2016,Gross Booking Value,FRBO,Platform,215850.075235
Site B,June,30,2016,Gross Booking Value,FRBO,Platform,181568.599146
Site A,May,1,2016,Gross Booking Value,FRBO,Platform,315848.272082
Site B,May,1,2016,Gross Booking Value,FRBO,Platform,247421.735571
Site A,May,2,2016,Gross Booking Value,FRBO,Platform,410435.763614
Site B,May,2,2016,Gross Booking Value,FRBO,Platform,239134.53943
Site A,May,3,2016,Gross Booking Value,FRBO,Platform,312863.130267
Site B,May,3,2016,Gross Booking Value,FRBO,Platform,229530.962549
Site A,May,4,2016,Gross Booking Value,FRBO,Platform,306517.298751
Site B,May,4,2016,Gross Booking Value,FRBO,Platform,245365.950187
Site A,May,5,2016,Gross Booking Value,FRBO,Platform,303495.988531
Site B,May,5,2016,Gross Booking Value,FRBO,Platform,217550.072774
Site A,May,6,2016,Gross Booking Value,FRBO,Platform,256343.004164
Site B,May,6,2016,Gross Booking Value,FRBO,Platform,239688.472602
Site A,May,7,2016,Gross Booking Value,FRBO,Platform,231923.824863
Site B,May,7,2016,Gross Booking Value,FRBO,Platform,167344.016651
Site A,May,8,2016,Gross Booking Value,FRBO,Platform,313990.719043
Site B,May,8,2016,Gross Booking Value,FRBO,Platform,233546.721488
Site A,May,9,2016,Gross Booking Value,FRBO,Platform,313527.799681
Site B,May,9,2016,Gross Booking Value,FRBO,Platform,220419.156949
Site A,May,10,2016,Gross Booking Value,FRBO,Platform,360685.939904
Site B,May,10,2016,Gross Booking Value,FRBO,Platform,250968.513141
Site A,May,11,2016,Gross Booking Value,FRBO,Platform,435160.449382
Site B,May,11,2016,Gross Booking Value,FRBO,Platform,426864.59971
Site A,May,12,2016,Gross Booking Value,FRBO,Platform,306945.061202
Site B,May,12,2016,Gross Booking Value,FRBO,Platform,206482.720599
Site A,May,13,2016,Gross Booking Value,FRBO,Platform,266978.287029
Site B,May,13,2016,Gross Booking Value,FRBO,Platform,218579.63899
Site A,May,14,2016,Gross Booking Value,FRBO,Platform,266394.155857
Site B,May,14,2016,Gross Booking Value,FRBO,Platform,207044.138913
Site A,May,15,2016,Gross Booking Value,FRBO,Platform,364813.375119
Site B,May,15,2016,Gross Booking Value,FRBO,Platform,176903.916448
Site A,May,16,2016,Gross Booking Value,FRBO,Platform,363467.094546
Site B,May,16,2016,Gross Booking Value,FRBO,Platform,250187.302397
Site A,May,17,2016,Gross Booking Value,FRBO,Platform,340202.000083
Site B,May,17,2016,Gross Booking Value,FRBO,Platform,186125.346057
Site A,May,18,2016,Gross Booking Value,FRBO,Platform,332143.484704
Site B,May,18,2016,Gross Booking Value,FRBO,Platform,272851.860959
Site A,May,19,2016,Gross Booking Value,FRBO,Platform,240894.906988
Site B,May,19,2016,Gross Booking Value,FRBO,Platform,258289.935209
Site A,May,20,2016,Gross Booking Value,FRBO,Platform,277100.868746
Site B,May,20,2016,Gross Booking Value,FRBO,Platform,181676.481691
Site A,May,21,2016,Gross Booking Value,FRBO,Platform,267663.666424
Site B,May,21,2016,Gross Booking Value,FRBO,Platform,175138.784556
Site A,May,22,2016,Gross Booking Value,FRBO,Platform,336106.082093
Site B,May,22,2016,Gross Booking Value,FRBO,Platform,257255.125599
Site A,May,23,2016,Gross Booking Value,FRBO,Platform,338418.075767
Site B,May,23,2016,Gross Booking Value,FRBO,Platform,242391.593709
Site A,May,24,2016,Gross Booking Value,FRBO,Platform,355862.231265
Site B,May,24,2016,Gross Booking Value,FRBO,Platform,231820.140807
Site A,May,25,2016,Gross Booking Value,FRBO,Platform,294111.716986
Site B,May,25,2016,Gross Booking Value,FRBO,Platform,254341.496215
Site A,May,26,2016,Gross Booking Value,FRBO,Platform,268192.639731
Site B,May,26,2016,Gross Booking Value,FRBO,Platform,225673.617153
Site A,May,27,2016,Gross Booking Value,FRBO,Platform,232491.093549
Site B,May,27,2016,Gross Booking Value,FRBO,Platform,178868.061413
Site A,May,28,2016,Gross Booking Value,FRBO,Platform,229708.388457
Site B,May,28,2016,Gross Booking Value,FRBO,Platform,203375.823158
Site A,May,29,2016,Gross Booking Value,FRBO,Platform,222672.453742
Site B,May,29,2016,Gross Booking Value,FRBO,Platform,229041.041183
Site A,May,30,2016,Gross Booking Value,FRBO,Platform,423534.663602
Site B,May,30,2016,Gross Booking Value,FRBO,Platform,268797.427351
Site A,May,31,2016,Gross Booking Value,FRBO,Platform,351702.487444
Site B,May,31,2016,Gross Booking Value,FRBO,Platform,262453.621668
Site A,July,1,2017,Gross Booking Value,FRBO,Platform,433711.955228
Site B,July,1,2017,Gross Booking Value,FRBO,Platform,187318.265545
Site A,July,2,2017,Gross Booking Value,FRBO,Platform,557908.877841
Site B,July,2,2017,Gross Booking Value,FRBO,Platform,248301.625064
Site A,July,3,2017,Gross Booking Value,FRBO,Platform,566072.907496
Site B,July,3,2017,Gross Booking Value,FRBO,Platform,259331.567861
Site A,July,4,2017,Gross Booking Value,FRBO,Platform,545171.993524
Site B,July,4,2017,Gross Booking Value,FRBO,Platform,201355.189836
Site A,July,5,2017,Gross Booking Value,FRBO,Platform,546864.400897
Site B,July,5,2017,Gross Booking Value,FRBO,Platform,219259.510494
Site A,July,6,2017,Gross Booking Value,FRBO,Platform,469790.616431
Site B,July,6,2017,Gross Booking Value,FRBO,Platform,211093.900635
Site A,July,7,2017,Gross Booking Value,FRBO,Platform,428023.055017
Site B,July,7,2017,Gross Booking Value,FRBO,Platform,223105.821927
Site A,July,8,2017,Gross Booking Value,FRBO,Platform,426074.476002
Site B,July,8,2017,Gross Booking Value,FRBO,Platform,182588.519536
Site A,July,9,2017,Gross Booking Value,FRBO,Platform,564886.161962
Site B,July,9,2017,Gross Booking Value,FRBO,Platform,210674.407915
Site A,July,10,2017,Gross Booking Value,FRBO,Platform,510001.039844
Site B,July,10,2017,Gross Booking Value,FRBO,Platform,254221.225076
Site A,July,11,2017,Gross Booking Value,FRBO,Platform,505367.128787
Site B,July,11,2017,Gross Booking Value,FRBO,Platform,234473.748087
Site A,July,12,2017,Gross Booking Value,FRBO,Platform,498596.995308
Site B,July,12,2017,Gross Booking Value,FRBO,Platform,227546.504306
Site A,July,13,2017,Gross Booking Value,FRBO,Platform,522885.93641
Site B,July,13,2017,Gross Booking Value,FRBO,Platform,223426.189031
Site A,July,14,2017,Gross Booking Value,FRBO,Platform,465961.530636
Site B,July,14,2017,Gross Booking Value,FRBO,Platform,179568.070413
Site A,July,15,2017,Gross Booking Value,FRBO,Platform,385923.059033
Site B,July,15,2017,Gross Booking Value,FRBO,Platform,158591.081547
Site A,July,16,2017,Gross Booking Value,FRBO,Platform,532651.246787
Site B,July,16,2017,Gross Booking Value,FRBO,Platform,214716.866462
Site A,July,17,2017,Gross Booking Value,FRBO,Platform,461544.567473
Site B,July,17,2017,Gross Booking Value,FRBO,Platform,175675.463102
Site A,July,18,2017,Gross Booking Value,FRBO,Platform,469102.893292
Site B,July,18,2017,Gross Booking Value,FRBO,Platform,220625.210143
Site A,July,19,2017,Gross Booking Value,FRBO,Platform,483101.427981
Site B,July,19,2017,Gross Booking Value,FRBO,Platform,232024.363752
Site A,July,20,2017,Gross Booking Value,FRBO,Platform,450273.052119
Site B,July,20,2017,Gross Booking Value,FRBO,Platform,200885.319664
Site A,July,21,2017,Gross Booking Value,FRBO,Platform,420718.470913
Site B,July,21,2017,Gross Booking Value,FRBO,Platform,203209.469589
Site A,July,22,2017,Gross Booking Value,FRBO,Platform,474389.167614
Site B,July,22,2017,Gross Booking Value,FRBO,Platform,174903.453818
Site A,July,23,2017,Gross Booking Value,FRBO,Platform,586005.025781
Site B,July,23,2017,Gross Booking Value,FRBO,Platform,189893.850418
Site A,July,24,2017,Gross Booking Value,FRBO,Platform,545756.590467
Site B,July,24,2017,Gross Booking Value,FRBO,Platform,205293.726702
Site A,July,25,2017,Gross Booking Value,FRBO,Platform,428315.81213
Site B,July,25,2017,Gross Booking Value,FRBO,Platform,238301.310387
Site A,July,26,2017,Gross Booking Value,FRBO,Platform,514420.420758
Site B,July,26,2017,Gross Booking Value,FRBO,Platform,161991.469987
Site A,July,27,2017,Gross Booking Value,FRBO,Platform,445153.271462
Site B,July,27,2017,Gross Booking Value,FRBO,Platform,146545.43509
Site A,July,28,2017,Gross Booking Value,FRBO,Platform,410614.320018
Site B,July,28,2017,Gross Booking Value,FRBO,Platform,147487.864381
Site A,July,29,2017,Gross Booking Value,FRBO,Platform,437179.762239
Site B,July,29,2017,Gross Booking Value,FRBO,Platform,116832.443844
Site A,July,30,2017,Gross Booking Value,FRBO,Platform,502925.024332
Site B,July,30,2017,Gross Booking Value,FRBO,Platform,169142.011071
Site A,July,31,2017,Gross Booking Value,FRBO,Platform,499005.477982
Site B,July,31,2017,Gross Booking Value,FRBO,Platform,182775.108454
Site A,June,1,2017,Gross Booking Value,FRBO,Platform,426807.283338
Site B,June,1,2017,Gross Booking Value,FRBO,Platform,204008.158855
Site A,June,2,2017,Gross Booking Value,FRBO,Platform,369480.30311
Site B,June,2,2017,Gross Booking Value,FRBO,Platform,175154.032771
Site A,June,3,2017,Gross Booking Value,FRBO,Platform,383553.571541
Site B,June,3,2017,Gross Booking Value,FRBO,Platform,192463.015423
Site A,June,4,2017,Gross Booking Value,FRBO,Platform,405239.908052
Site B,June,4,2017,Gross Booking Value,FRBO,Platform,210373.564192
Site A,June,5,2017,Gross Booking Value,FRBO,Platform,472495.575868
Site B,June,5,2017,Gross Booking Value,FRBO,Platform,295970.896481
Site A,June,6,2017,Gross Booking Value,FRBO,Platform,502343.822018
Site B,June,6,2017,Gross Booking Value,FRBO,Platform,246711.609053
Site A,June,7,2017,Gross Booking Value,FRBO,Platform,473843.209189
Site B,June,7,2017,Gross Booking Value,FRBO,Platform,217018.672227
Site A,June,8,2017,Gross Booking Value,FRBO,Platform,424408.517711
Site B,June,8,2017,Gross Booking Value,FRBO,Platform,220574.112771
Site A,June,9,2017,Gross Booking Value,FRBO,Platform,434391.714181
Site B,June,9,2017,Gross Booking Value,FRBO,Platform,169904.577362
Site A,June,10,2017,Gross Booking Value,FRBO,Platform,411398.492017
Site B,June,10,2017,Gross Booking Value,FRBO,Platform,184533.299551
Site A,June,11,2017,Gross Booking Value,FRBO,Platform,509090.990229
Site B,June,11,2017,Gross Booking Value,FRBO,Platform,226945.370989
Site A,June,12,2017,Gross Booking Value,FRBO,Platform,509512.556363
Site B,June,12,2017,Gross Booking Value,FRBO,Platform,247410.344859
Site A,June,13,2017,Gross Booking Value,FRBO,Platform,450882.252261
Site B,June,13,2017,Gross Booking Value,FRBO,Platform,264928.525536
Site A,June,14,2017,Gross Booking Value,FRBO,Platform,543294.909148
Site B,June,14,2017,Gross Booking Value,FRBO,Platform,215934.637325
Site A,June,15,2017,Gross Booking Value,FRBO,Platform,394315.988329
Site B,June,15,2017,Gross Booking Value,FRBO,Platform,236208.692449
Site A,June,16,2017,Gross Booking Value,FRBO,Platform,399150.033585
Site B,June,16,2017,Gross Booking Value,FRBO,Platform,155971.924794
Site A,June,17,2017,Gross Booking Value,FRBO,Platform,355661.260398
Site B,June,17,2017,Gross Booking Value,FRBO,Platform,175462.397908
Site A,June,18,2017,Gross Booking Value,FRBO,Platform,436126.187099
